STT_JSON,MaKho,TenKho,MaThan,TenThan,TonCK,Keys
"19","47","Kho than bùn số 5","Than nguyên khai","Than nguyên khai","259460.55","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"20","06","Kho 6","Cục xô 1C","Cục xô 1C","3.52","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"21","07","Kho 7","Cám 6a.1","Cám 6a.1","2247.64","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"22","08","Kho 8","Cám 6a.1","Cám 6a.1","32372.31","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"23","09","Kho 9","Cám 6a.1","Cám 6a.1","4783.71","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"24","09","Kho 9","Cám 6b.1","Cám 6b.1","418","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"25","09","Kho 9","Cám 6a.14","Cám 6a.14","15869.55","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"26","09","Kho 9","Cám 6a.10","Cám 6a.10","733","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"27","10","Kho 10","Cám 5a.1","Cám 5a.1","1435.21","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"28","10","Kho 10","Cám 5b.1","Cám 5b.1","442","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"29","10","Kho 10","Cám 5a.14","Cám 5a.14","291","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"30","11","Kho 11","Cám 4a.1","Cám 4a.1","37671.49","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"31","12","Kho 12","Cám 3b.1","Cám 3b.1","26710.64","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"32","13","Kho 13","Cám 3a.1","Cám 3a.1","18297.95","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"33","15","Kho 15","Cục 5a.1","Cục 5a.1","34260.8","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"34","16","Kho 16","Cục 5a.1","Cục 5a.1","13252.46","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"35","17","Kho 17","Cám 1","Cám 1","50217.05","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
