MaKho,TenKho,MaThan,TenThan,TonCK,TonDK,NhapTK,XuatTK,TenThanGoc,ttinKho,ttinThan
"43","Kho 31","Cám đá","Cám đá","3262","4332","400","1470","Cám đá","131","25.01"
"43","Kho 31","Than nguyên khai","Than nguyên khai","16854.98","25854.98","0","9000","Than nguyên khai","131","5.01"
"44","Kho 32","Cám 6A.1","Cám 6A.1","588.06","3440.39","3630","6482.33","Cám 6A.1 (sấy)","132","1212.02"
"44","Kho 32","Bùn tuyển 3A","Bùn tuyển 3A","3492.9","648.9","4815","1971","Bùn tuyển 3A","132","23.03"
"44","Kho 32","Cám đá","Cám đá","3405.39","4229.39","2526","3350","Cám đá","132","25.01"
"44","Kho 32","Than nguyên khai","Than nguyên khai","5671.34","17679.25","13859","25866.91","Than nguyên khai","132","5.01"
"45","Kho 33","Cám đá","Cám đá","3685.58","2381.78","6066","4762.2","Cám đá","133","25.01"
"34A","Kho 34","Cám 1","Cám 1","43197.29","43197.29","0","0","Cám 1","134","1206.01"
"36","Kho 37","Bùn tuyển 3A","Bùn tuyển 3A","47376.58","52191.58","0","4815","Bùn tuyển 3A","137","23.03"
"46a","Kho 38","Than nguyên khai","Than nguyên khai","366573.53","386629.53","0","20056","Than nguyên khai","138","5.01"
"28","Kho 39","Than Anthracite Lào Tầu TRƯỜNG NGUYÊN STAR","Than Anthracite Lào Tầu TRƯỜNG NGUYÊN STAR","9.13","643.13","0","634","Than Anthracite Lào Tầu TRƯỜNG NGUYÊN STAR","139","4.295"
"28","Kho 39","Than NK","Than NK","10128.91","5243.59","26404.59","21519.27","Than NK (Mozambique - Tàu MV GLEAMSTAR)","139","4.296"
"60","Kho 40","Đá thải","Đá thải","5695.1","10273.19","15443","20021.09","Đá thải","140","27.01"
"k59","NM Nhiệt điện","Cám 6b.1","Cám 6b.1","2133","1746","62914","62527","Cám 6b.1","310","1211.03"
"31B","Nhà máy sấy","Cám 8C","Cám 8C","40","40","0","0","Cám 8C","128b","2206.96"
"K60","Ẩm nhiệt điện","Cám 6b.1","Cám 6b.1","1182.76","1079.14","103.62","0","Cám 6b.1","311","1211.03"
